act_n,dist_rank,genre_rank,direct_rank,네이버_기대지수,star_buzz,movie_buzz_naver,google_trend,Target
63,4,13,65,0.0,532,90,385.0,1
87,3,2,14,0.0,1800,267,583.0,1
108,3,13,27,0.0,1383,171,676.0,1
33,3,11,67,0.0,938,77,453.0,1
8,8,13,67,0.0,308,9,451.0,0
87,3,8,26,0.0,1219,211,1018.0,1
6,8,13,67,0.0,103,33,0.0,0
82,3,13,36,0.0,1186,240,731.0,1
42,8,13,93,0.0,94,12,296.0,1
79,1,13,7,0.0,1230,118,751.0,1
42,9,12,67,0.0,149,6,0.0,0
77,2,10,67,0.0,874,54,601.0,1
85,4,2,2,0.0,1288,151,722.0,1
58,8,13,77,0.0,374,37,311.0,0
52,8,10,67,0.0,258,41,334.0,0
7,4,13,61,0.0,237,73,468.0,0
55,8,13,67,0.0,14,2,0.0,0
38,4,10,68,0.0,1382,88,949.0,1
69,8,3,50,0.0,971,92,533.0,1
76,2,8,41,0.0,926,138,0.0,1
160,2,8,9,0.0,782,92,431.0,1
135,8,9,69,0.0,79,11,0.0,1
61,2,10,67,0.0,1954,168,770.0,1
21,2,13,81,0.0,221,44,328.0,1
42,4,7,54,0.0,537,43,1010.0,1
87,4,11,67,0.0,283,2,1435.0,1
137,3,11,17,0.0,1213,92,754.0,1
68,8,13,67,0.0,80,4,0.0,0
8,9,13,62,0.0,132,13,0.0,1
20,8,13,96,0.0,51,20,308.0,1
64,8,11,67,0.0,9,6,0.0,0
5,8,13,67,0.0,0,2,0.0,1
2,4,15,67,0.0,30,6,0.0,0
48,2,7,67,0.0,713,85,502.0,1
37,8,13,83,0.0,388,36,1000.0,1
82,1,8,67,0.0,1035,132,671.0,1
16,8,7,67,0.0,136,8,416.0,1
48,4,10,55,0.0,933,124,556.0,1
77,2,3,31,54.0,1292,101,2232.0,1
56,9,8,13,0.0,45,10,0.0,0
5,3,10,78,0.0,123,25,453.0,0
50,1,13,67,0.0,2010,154,623.0,1
49,3,13,67,1420.0,828,74,864.0,1
12,8,7,67,0.0,86,15,156.0,0
172,3,13,67,12784.0,2210,323,884.0,1
5,8,10,67,0.0,80,11,856.0,0
148,3,13,10,0.0,1558,305,599.0,1
52,9,14,67,0.0,190,24,524.0,0
182,8,13,29,0.0,1755,177,976.0,1
24,8,8,67,0.0,23,1,200.0,0
84,2,13,11,0.0,2130,299,824.0,1
116,4,13,67,0.0,818,54,707.0,0
98,3,5,67,0.0,164,38,784.0,1
70,3,8,72,0.0,524,57,1376.0,1
57,4,2,67,5465.0,1177,175,492.0,0
70,8,7,67,2224.0,180,9,1397.0,0
97,8,13,67,0.0,535,77,464.0,1
71,8,13,67,15.0,14,2,0.0,0
126,1,5,67,0.0,1184,102,552.0,0
72,8,13,90,0.0,245,25,1058.0,0
75,1,5,1,0.0,2070,173,600.0,1
25,8,15,67,60.0,0,10,0.0,0
37,4,8,60,0.0,311,38,408.0,0
54,8,13,67,0.0,49,8,0.0,0
