,act_n,dist_rank,genre_rank,direct_rank,네이버_기대지수,star_buzz,movie_buzz_naver,google_trend,Target
508,21,8,10,97,316.0,129,5,1441.0,0
509,97,8,13,67,1296.0,966,91,0.0,0
510,53,4,13,67,0.0,1672,201,599.0,0
511,85,3,5,76,2136.0,1299,138,539.0,0
512,69,8,13,67,1465.0,887,64,1910.0,0
513,98,6,13,84,3583.0,585,107,1639.0,0
514,24,3,7,43,0.0,718,75,161.0,0
515,100,1,2,8,0.0,2580,129,831.0,1
516,85,1,5,22,0.0,1590,131,685.0,1
517,65,3,13,82,1496.0,478,108,454.0,1
518,31,8,9,67,124.0,113,25,993.0,0
519,49,8,10,67,0.0,93,2,0.0,0
520,70,6,9,67,3750.0,632,51,678.0,1
521,3,8,15,67,291.0,150,34,0.0,0
522,92,2,13,67,28626.0,908,232,385.0,1
523,98,3,2,80,7092.0,1234,93,531.0,0
524,78,1,3,26,2407.0,1253,127,461.0,1
525,140,4,3,77,2252.0,953,103,1323.0,0
526,3,8,8,67,259.0,95,4,397.0,0
527,48,3,5,47,1717.0,1233,19,589.0,1
528,49,1,5,18,1320.0,1151,192,791.0,1
529,50,8,15,67,155.0,223,4,0.0,0
530,119,4,2,15,6255.0,2407,265,528.0,0
531,5,3,10,35,0.0,909,42,794.0,0
532,39,8,7,67,0.0,165,7,1155.0,0
533,7,8,8,67,0.0,300,1,516.0,0
534,70,8,8,77,0.0,750,66,497.0,1
535,8,8,11,66,0.0,75,7,610.0,0
536,65,8,10,67,4017.0,1099,80,794.0,0
537,44,8,7,67,0.0,69,14,100.0,0
538,45,8,8,56,0.0,350,70,293.0,1
539,45,2,8,67,0.0,810,71,666.0,1
540,7,2,10,67,0.0,484,34,942.0,0
541,50,8,7,67,0.0,132,4,807.0,0
542,9,8,10,67,0.0,903,51,245.0,0
543,60,8,13,67,2564.0,302,45,1486.0,0
544,88,6,13,67,48999.0,1809,318,1860.0,0
545,67,3,10,67,7380.0,1423,146,783.0,0
546,110,8,13,32,7157.0,2051,325,0.0,1
547,146,8,8,67,3469.0,115,11,297.0,0
