screenCnt,audiAcc,act_n,dist_rank,genre_rank,등급_12세관람가,등급_12세이상관람가,등급_15세이상관람가,등급_전체관람가,등급_청소년관람불가,cont_rank
55,2406,1.791759469228055,42,13,0,0,1,0,0,6
154,15885,1.9459101490553132,39,8,0,0,0,1,0,16
55,53175,1.9459101490553132,18,11,0,0,1,0,0,11
11,2035,1.6094379124341003,72,19,0,1,0,0,0,2
1351,1599290,5.2832037287379885,6,1,0,0,1,0,0,1
5,16,1.0986122886681098,89,4,0,0,1,0,0,20
17,1859,2.0794415416798357,56,11,0,0,0,1,0,16
59,3021,1.9459101490553132,36,3,0,0,0,0,1,2
90,7803,1.3862943611198906,41,8,0,0,0,1,0,5
1,1,1.9459101490553132,71,9,0,0,1,0,0,4
5,29,1.6094379124341003,91,4,0,0,1,0,0,13
5,13,1.9459101490553132,89,10,0,0,1,0,0,23
1,1,1.9459101490553132,89,10,0,0,1,0,0,2
55,3738,2.0794415416798357,91,4,0,0,1,0,0,16
123,3995,2.0794415416798357,36,15,0,0,0,0,1,17
25,50419,1.791759469228055,8,18,0,0,0,1,0,1
1,1,1.6094379124341003,71,15,0,0,0,0,1,2
155,111541,1.0986122886681098,25,13,0,1,0,0,0,9
47,63279,1.0986122886681098,8,11,0,1,0,0,0,1
332,22407,1.6094379124341003,12,8,0,1,0,0,0,6
41,850,1.9459101490553132,20,13,0,0,1,0,0,2
7,517,2.1972245773362196,78,10,0,0,1,0,0,5
769,554521,2.0794415416798357,5,15,0,0,1,0,0,2
2,3028,1.791759469228055,74,19,0,0,0,1,0,13
108,5881,1.791759469228055,24,13,0,1,0,0,0,6
0,213,2.0794415416798357,81,11,0,0,0,0,1,6
20,6137,1.9459101490553132,47,11,0,0,1,0,0,2
1,14,1.791759469228055,71,4,0,0,1,0,0,18
1,1,1.791759469228055,90,3,0,0,1,0,0,20
17,2482,1.791759469228055,52,11,0,0,1,0,0,7
5,27,1.3862943611198906,91,13,0,0,0,0,1,6
